measure,,,,,,mentions,mentions,mentions,muc,muc,muc,bcub,bcub,bcub,ceafe,ceafe,ceafe,lea,lea,lea,conll
metric,,,,,,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1
scenario,experiment,dev-corpus,test-corpus,topics,seed,,,,,,,,,,,,,,,,
gg,ecbp,ecbp,gvc,closure,0,1.0,1.0,1.0,0.8202764976958525,0.8186596583442839,0.8218997361477572,0.5863560716717316,0.4884767321710088,0.7332903474361219,0.38118444527160233,0.38419379615532556,0.37822187186275574,0.46375649190113244,0.36103519913745885,0.6481742301652806,59.593900487972896
gg,ecbp,ecbp,gvc,closure,1,1.0,1.0,1.0,0.7918994413407822,0.841246290801187,0.7480211081794196,0.6517053570184054,0.696060448876126,0.6126645084888487,0.45983709254249644,0.39011450089345373,0.5599052681216926,0.5241426759658562,0.5309259735220132,0.5175305234064856,63.44806303005613
gg,ecbp,ecbp,gvc,closure,2,1.0,1.0,1.0,0.8139059304703476,0.842031029619182,0.787598944591029,0.6610316974227941,0.6607240856992518,0.6613395957078507,0.4651221074444463,0.4180332990461449,0.5241661055397258,0.5425766665366452,0.5164746925787934,0.5714573964025025,64.66865784458626
gg,ecbp,ecbp,gvc,predicted,0,1.0,1.0,1.0,0.7919375812743824,0.7807692307692308,0.8034300791556728,0.5232915240426289,0.4185986133614662,0.6978181806755607,0.3344256498232836,0.355938410923027,0.31536512055874416,0.3985905633733166,0.2971351112134109,0.6052507038770056,54.988491838009836
gg,ecbp,ecbp,gvc,predicted,1,1.0,1.0,1.0,0.7506925207756233,0.7900874635568513,0.7150395778364116,0.5970031202818326,0.6249559682968544,0.5714437510884466,0.41957108148675176,0.3625727458885515,0.4978330448728816,0.4601332339521767,0.4526080993189919,0.4679128274424311,58.908890751473585
gg,ecbp,ecbp,gvc,predicted,2,1.0,1.0,1.0,0.7778528021607022,0.7966804979253111,0.7598944591029023,0.6041956950618562,0.5949063938467741,0.6137796977743851,0.42845655404578187,0.3955706343273556,0.46730624158879314,0.480361759169084,0.45063990938258613,0.5142810451766784,60.35016837561135
gg,ecbp,ecbp,ecbp,closure,0,1.0,1.0,1.0,0.7848804891606448,0.8567961165048543,0.7241025641025641,0.7936823152921155,0.8586581225240267,0.7378483452955558,0.764523727865026,0.7041455464279868,0.8362275060685159,0.6696024265345909,0.6988843095610039,0.6426755791643262,78.10288441059288
gg,ecbp,ecbp,ecbp,closure,1,1.0,1.0,1.0,0.7828983897834536,0.8535108958837773,0.7230769230769231,0.7958217495671464,0.8548988264788967,0.744381856531884,0.7612288153228831,0.7017827495560541,0.8316779417099076,0.6689711606707653,0.6942772563227758,0.6454449796746211,77.99829848911611
