measure,,,,,,mentions,mentions,mentions,muc,muc,muc,bcub,bcub,bcub,ceafe,ceafe,ceafe,lea,lea,lea,conll
metric,,,,,,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1
scenario,experiment,dev-corpus,test-corpus,topics,seed,,,,,,,,,,,,,,,,
gg_aug,gg_aug_abc-ecbp,ecbp,ecbp,closure,2,0.5329125338142471,0.4450301204819277,0.6640449438202247,0.0,0.0,0.0,0.323402700313973,0.4450301204819277,0.25398751866929387,0.22199830913315519,0.14464159410953503,0.47722742106201865,0.1442741208295762,0.12048192771084337,0.1797752808988764,18.180033648237607
sg,sg_abc_25k,ecbp,ecbp,closure,0,0.4440937781785392,0.37085843373493976,0.5533707865168539,0.0020491803278688526,1.0,0.0010256410256410256,0.29197715268545943,0.37085843373493976,0.24076634989467455,0.21993765888959593,0.14331154421054648,0.4726610557503117,0.14666164407889626,0.12274096385542169,0.1821629213483146,17.132133063430807
sg,sg_abc_25k,ecbp,ecbp,closure,1,0.454463480613165,0.3795180722891566,0.5662921348314607,0.008163265306122448,0.8,0.0041025641025641026,0.29942048817519396,0.37914156626506024,0.2474002934324352,0.22665449342776856,0.14774008473903588,0.486532875333148,0.1528051634146866,0.12838855421686746,0.18868968935888963,17.807941563636163
sg,sg_abc_25k,ecbp,ecbp,closure,2,0.4328223624887286,0.3614457831325301,0.5393258426966292,0.006134969325153375,1.0,0.003076923076923077,0.2874458543780133,0.3614457831325301,0.23859711809680303,0.22111869739796347,0.1441063806261134,0.47492450658519114,0.14954383762008397,0.1253765060240964,0.18525280898876403,17.156650703371003
sg,sg_bbc_25k,ecbp,ecbp,closure,0,0.46302975653742107,0.38667168674698793,0.5769662921348314,0.0,0.0,0.0,0.3076328044574237,0.38667168674698793,0.25542236596507667,0.23599837051836536,0.15376324555046358,0.5073232051950699,0.15779981965734896,0.13177710843373494,0.19662921348314608,18.121039165859635
sg,sg_bbc_25k,ecbp,ecbp,closure,1,0.5117222723174031,0.4273343373493976,0.6376404494382022,0.0020491803278688526,1.0,0.0010256410256410256,0.32253638582354466,0.4273343373493976,0.25901617997716764,0.23183691570214748,0.15106510891326372,0.4982333716331866,0.15342453853641974,0.12838855421686746,0.19058988764044943,18.54741606178537
sg,sg_bbc_25k,ecbp,ecbp,closure,2,0.5491433724075744,0.4585843373493976,0.6842696629213483,0.0020491803278688526,1.0,0.0010256410256410256,0.3608907098631571,0.4585843373493976,0.2975110241640599,0.2687989389069453,0.17514959107684194,0.5776672848559197,0.1819648972219987,0.15210843373493976,0.22640449438202248,21.057960969932374
ss,ss_abc_25k,_25,ecbp,closure,0,0.45175834084761046,0.3772590361445783,0.5629213483146067,0.0040941658137154556,1.0,0.0020512820512820513,0.3020576702329167,0.3772590361445783,0.2518540517894487,0.23257969398222342,0.15156238912669756,0.49968519346864015,0.15603861174082836,0.13064759036144577,0.19367977528089889,17.95771766762852
ss,ss_abc_25k,_25,ecbp,closure,1,0.44364292155094676,0.3704819277108434,0.5528089887640449,0.006134969325153375,1.0,0.003076923076923077,0.28913295903091457,0.3704819277108434,0.2370766073816045,0.21734965941839918,0.14165004189009128,0.46682926848995304,0.14548603139226898,0.12198795180722892,0.18019662921348314,17.087252925815573
ss,ss_abc_25k,_25,ecbp,closure,2,0.4666366095581605,0.38968373493975905,0.5814606741573034,0.006134969325153375,1.0,0.003076923076923077,0.3121946921291448,0.38968373493975905,0.26041156388238657,0.2398289345292532,0.1563001235586426,0.5151108419889178,0.1621680926992323,0.13591867469879518,0.20098314606741574,18.605286532785044
ss,ss_bbc_25k,_25,ecbp,closure,1,0.5,0.41754518072289154,0.6230337078651685,0.0,0.0,0.0,0.33557289126033896,0.41754518072289154,0.2805043905170796,0.25791079146285795,0.1680401448141851,0.5544281051260568,0.17403065825067626,0.14533132530120482,0.21685393258426966,19.78278942410656
ss,ss_bbc_25k,_25,ecbp,closure,2,0.5261496844003608,0.43938253012048195,0.6556179775280899,0.0040941658137154556,1.0,0.0020512820512820513,0.33635431920209014,0.43938253012048195,0.27246549635965783,0.24442338543919984,0.15928042393259087,0.5251307392758958,0.1631611814114353,0.13667168674698796,0.2023876404494382,19.495729015166848
